ID,Invernadero,Municipio,CP,IIBB,Area_Total,Propia,Area_Tomate,Variedades,Produccion_Total,Reduccion_Rendimiento,Reducion_Cantidad_Fertilizante,Reduccion_Costo_Mano_de_Obra,Reduccion_Tiempo,Reduccion_Costo_Maquinaria,Factores_Informacion,Factores_Vecinos,Factores_Impacto_Ambiental,Factores_Mayores_Ingresos,Factores_Menores_Costos,Factores_Mayores_Rendimientos,Factores_Control_Plagas,Factores_Mundo_Mejor,Afirmaciones_Convencional_Sostenible,Afrimaciones_Plaguicidas_Estabilidad_Economica,Afirmaciones_Altos_Rendimientos_Sin_Pesticidas,Afirmaciones_Pesticidas_No_Daninos,Afirmacion_Demanda_Fibras,Afirmacion_Ecologico_Economicamente_Arriesgada,Afirmacion_Control_Biologico_Sustituye_Pesticidas,Afirmacion_Me_Intereso_Tecnologia,UE_Directiva_Plaguicidas,UE_Granja_A_La_Mesa,UE_Biodiversidad,UE_Nitratos,UE_Aves,UE_Agua,Anos,Sexo,Hijos,Estudios,Educacion_Agricultura,Anos_agricultor,ubi_geocode,lat,lon,categoria_map
AGR_25,FALSE,Gines,41960,0,100,FALSE,40,1,200,Aumenta,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,Ns/Nc,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,69,M,0,Primario,No,7,"41960, Gines",37.3843039,-6.0758624,1
AGR_26,FALSE,Bormujos,41930,1,400,TRUE,120,3,520,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Importante,Muy Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,64,M,2,Primario,No,7,"41930, Bormujos",37.3722503,-6.0701344,1
AGR_27,FALSE,Gines,41960,0,100,FALSE,30,1,150,Aumenta,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Importante,Importante,Importante,Poco Importante,Poco Importante,Poco Importante,Poco Importante,Muy Importante,De Acuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Ns/Nc,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,64,M,2,Universitario,No,1,"41960, Gines",37.3843039,-6.0758624,1
AGR_28,FALSE,Gines,41960,0,50,FALSE,10,1,30,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Disminuye,Importante,Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Poco Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,48,M,0,Universitario,No,5,"41960, Gines",37.3843039,-6.0758624,1
AGR_29,FALSE,Gines,41960,0,100,FALSE,50,2,480,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Importante,Importante,Importante,Poco Importante,Poco Importante,Poco Importante,Importante,Muy Importante,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,Ns/Nc,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,64,M,2,Secundario,No,7,"41960, Gines",37.3843039,-6.0758624,1
AGR_30,TRUE,Velez-Malaga,29700,5,16000,TRUE,1400,1,7000,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Disminuye,Disminuye,Muy Importante,Muy Importante,Muy Importante,Importante,Importante,Importante,Importante,Muy Importante,"Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",Util,No Conozco,No Conozco,Util,No Conozco,Inutil,43,M,0,Universitario,Si,13,"29700, Velez-Malaga",36.7691911,-4.1060031,2
AGR_31,FALSE,Segura de la Sierra,23379,0,20000,TRUE,150,2,400,Disminuye,Aumenta,Aumenta,Aumenta,Aumenta,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,Util,No Conozco,Util,No Conozco,Util,Inutil,50,F,2,Secundario,No,35,"23379, Segura de la Sierra",38.2766905,-2.6288523,3
AGR_32,FALSE,Sevilla,41015,0,100,FALSE,20,1,180,Disminuye,Disminuye,Ninguna Diferencia,Ninguna Diferencia,Ninguna Diferencia,Importante,Importante,Importante,Nada Importante,Nada Importante,Nada Importante,Importante,Muy Importante,De Acuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,De Acuerdo,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,No Conozco,63,M,0,Primario,No,50,"41015, Sevilla",37.439299,-5.9885456,1
AGR_33,TRUE,Finana,04500,4,15000,TRUE,15000,1,105000,Disminuye,Disminuye,Disminuye,Aumenta,Aumenta,Muy Importante,Importante,Muy Importante,Muy Importante,Muy Importante,Importante,Muy Importante,Importante,En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo","Ni de Acuerdo, Ni en Desacuerdo",En Desacuerdo,De Acuerdo,"Ni de Acuerdo, Ni en Desacuerdo",De Acuerdo,Inutil,Inutil,Inutil,Inutil,Inutil,Inutil,31,M,1,Universitario,Si,12,"04500, Finana",37.1709472,-2.8415046,2
AGR_34,FALSE,Lanjaron,18420,3,70000,TRUE,900,3,41050,Ns/Nc,Ns/Nc,Aumenta,Ns/Nc,Ns/Nc,Muy Importante,Ns/Nc,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,En Desacuerdo,En Desacuerdo,De Acuerdo,En Desacuerdo,De Acuerdo,De Acuerdo,Ns/Nc,"Ni de Acuerdo, Ni en Desacuerdo",No Conozco,Inutil,Util,No Conozco,No Conozco,No Conozco,48,M,1,Secundario,No,35,"18420, Lanjaron",36.9187716,-3.4795035,4
